consistent, condition, timestep, subject, correct, which
0, abaabaaabaaaaba, 2, 16, 0, 1
0, bbaaabbaaabbaaa, 3, 16, 0, 0
0, abaabaaabaaaaba, 3, 16, 0, 1
0, bbaaabbaaabbaaa, 4, 16, 0, 0
0, abaabaaabaaaaba, 4, 16, 1, 1
0, bbaaabbaaabbaaa, 5, 16, 1, 0
0, abaabaaabaaaaba, 5, 16, 1, 1
0, bbaaabbaaabbaaa, 6, 16, 1, 0
0, abaabaaabaaaaba, 6, 16, 1, 1
0, bbaaabbaaabbaaa, 7, 16, 0, 0
0, abaabaaabaaaaba, 7, 16, 1, 1
0, bbaaabbaaabbaaa, 8, 16, 1, 0
0, abaabaaabaaaaba, 8, 16, 1, 1
0, bbaaabbaaabbaaa, 9, 16, 1, 0
0, abaabaaabaaaaba, 9, 16, 1, 1
0, bbaaabbaaabbaaa, 10, 16, 1, 0
0, abaabaaabaaaaba, 10, 16, 1, 1
0, bbaaabbaaabbaaa, 11, 16, 1, 0
0, abaabaaabaaaaba, 11, 16, 1, 1
0, bbaaabbaaabbaaa, 12, 16, 1, 0
0, abaabaaabaaaaba, 12, 16, 1, 1
0, bbaaabbaaabbaaa, 13, 16, 1, 0
0, abaabaaabaaaaba, 13, 16, 1, 1
0, bbaaabbaaabbaaa, 14, 16, 1, 0
0, abaabaaabaaaaba, 14, 16, 1, 1
0, bbaaabbaaabbaaa, 0, 17, 1, 0
0, abaabaaabaaaaba, 0, 17, 0, 1
0, bbaaabbaaabbaaa, 1, 17, 1, 0
0, abaabaaabaaaaba, 1, 17, 1, 1
0, bbaaabbaaabbaaa, 2, 17, 0, 0
0, abaabaaabaaaaba, 2, 17, 1, 1
0, bbaaabbaaabbaaa, 3, 17, 0, 0
0, abaabaaabaaaaba, 3, 17, 0, 1
0, bbaaabbaaabbaaa, 4, 17, 0, 0
0, abaabaaabaaaaba, 4, 17, 1, 1
0, bbaaabbaaabbaaa, 5, 17, 1, 0
0, abaabaaabaaaaba, 5, 17, 1, 1
0, bbaaabbaaabbaaa, 6, 17, 1, 0
0, abaabaaabaaaaba, 6, 17, 1, 1
0, bbaaabbaaabbaaa, 7, 17, 1, 0
0, abaabaaabaaaaba, 7, 17, 1, 1
0, bbaaabbaaabbaaa, 8, 17, 1, 0
0, abaabaaabaaaaba, 8, 17, 1, 1
0, bbaaabbaaabbaaa, 9, 17, 1, 0
0, abaabaaabaaaaba, 9, 17, 1, 1
0, bbaaabbaaabbaaa, 10, 17, 0, 0
0, abaabaaabaaaaba, 10, 17, 1, 1
0, bbaaabbaaabbaaa, 11, 17, 1, 0
0, abaabaaabaaaaba, 11, 17, 1, 1
0, bbaaabbaaabbaaa, 12, 17, 1, 0
0, abaabaaabaaaaba, 12, 17, 1, 1
0, bbaaabbaaabbaaa, 13, 17, 1, 0
